Page,title,topic,isbn,pages,year,online_access,format,editorial,ebook-price,hardcover-price,softcover-price,print-price,print-ebook-price,authors
1,Handbook of e-Tourism,Tourism Management,978-3-030-48651-8,"X, 2000",2022,1,6,Springer International Publishing,NA,NA,NA,799.99,"1,199.99","Xiang, Z. (Ed), Fuchs, M. (Ed), Gretzel, U. (Ed), Hpken, W. (Ed) (2022)"
1,Signal Processing and Machine Learning with Applications,Artificial Intelligence,978-3-319-45371-2,"XV, 355",2022,0,5,Springer International Publishing,69.99,89.99,NA,NA,NA,"Paul, S. (2022)"
1,Rapid Roboting,Engineering Design,978-3-319-40001-3,300,2022,0,5,Springer International Publishing,99.00,129.00,NA,NA,NA,"Auat Cheein, F. A. (Ed), Prieto Cabrera, P. A. (Ed), Fantoni, G. (Ed) (2022)"
1,Smart Co-Design for Urban Planning,"Business and Management, general",978-3-030-67841-8,,2022,0,5,Springer International Publishing,,NA,37.99,NA,NA,"Piga, B. E. A., Cacciamatta, S., Boffi, M. (2022)"
1,Drones To Go,Hardware and Maker,978-1-4842-6787-5,"XIX, 348",2021,0,5,Apress,34.99,NA,44.99,NA,NA,"Mendoza-Mendoza, J. A., Gonzalez-Villela, V. J., Aguilar-Ibaez, C. F., Fonseca-Ruiz, L. (2022)"
1,Wearable Medical Sensors and Systems,Biomedical Engineering and Bioengineering,978-3-319-01004-5,350,2021,0,5,Springer International Publishing,149.00,189.00,NA,NA,NA,"Zhang, Y. (Ed) (2021)"
1,Immersive Technology in Smart Cities,"Communications Engineering, Networks",978-3-030-66606-4,"VIII, 278",2021,0,5,Springer International Publishing,99.00,129.00,NA,NA,NA,"Aurelia, S. (Ed), Paiva, S. (Ed) (2021)"
1,Secure Data Mining,Database Management,978-0-387-87965-9,,2021,0,5,Springer US,59.99,79.99,NA,NA,NA,"Zhan, J., Matwin, S. (2021)"
1,Computer Vision,"Computer Imaging, Vision, Pattern Recognition and Graphics",978-3-030-63415-5,1450,2021,1,6,Springer International Publishing,NA,NA,NA,799.99,"1,199.99",(2021)
1,Computational Methods for Affect Detection from Natural Language,Computational Linguistics,978-3-319-00601-7,250,2021,0,5,Springer International Publishing,79.99,99.99,NA,NA,NA,"Balahur-Dobrescu, A., Taboada, M., Schuller, B. W. (2021)"
1,Secure Public Key Infrastructure,Cryptology,978-0-387-27159-0,,2021,0,5,Springer US,74.99,99.00,NA,NA,NA,"Desmedt, Y. (2021)"
1,Handbook of Artificial Intelligence for Music,Artificial Intelligence,978-3-030-72115-2,"XLV, 1018",2021,0,5,Springer International Publishing,229.00,299.99,NA,NA,NA,"Miranda, E. R. (Ed) (2021)"
1,Intelligent Systems,Computational Intelligence,978-981-336-080-8,"XXXI, 575",2021,0,5,Springer Singapore,219.00,NA,279.99,NA,NA,"Udgata, S. K. (Ed), Sethi, S. (Ed), Srirama, S. N. (Ed) (2021)"
1,Physics Experiments with Arduino and Smartphones,"Measurement Science, Instrumentation",978-3-030-65139-8,"XII, 348",2021,0,5,Springer International Publishing,59.99,NA,79.99,NA,NA,"Organtini, G. (2021)"
1,Pro PHP 8 MVC,Professional Computing,978-1-4842-6956-5,"X, 350",2021,0,5,Apress,39.99,NA,54.99,NA,NA,"Pitt, C. (2021)"
1,Domain-Specific Languages in Practice,Software Engineering,978-3-030-73757-3,"X, 232",2021,0,5,Springer International Publishing,129.00,169.00,NA,NA,NA,"Bucchiarone, A. (Ed), Cicchetti, A. (Ed), Ciccozzi, F. (Ed), Pierantonio, A. (Ed) (2021)"
1,Handbook of Big Data Analytics and Forensics,Mobile and Network Security,978-3-030-74752-7,"X, 490",2021,0,5,Springer International Publishing,169.00,219.99,NA,NA,NA,"Choo, K. R. (Ed), Dehghantanha, A. (Ed) (2021)"
1,Code Clone Analysis,Software Engineering,978-981-16-1926-7,"IX, 226",2021,0,5,Springer Singapore,119.00,159.99,NA,NA,NA,"Inoue, K. (Ed), Roy, C. K. (Ed) (2021)"
1,Proceedings of the International e-Conference on Intelligent Systems and Signal Processing,Computational Intelligence,978-981-16-2122-2,"XX, 430",2021,0,5,Springer Singapore,169.00,NA,219.99,NA,NA,"Thakkar, F. (Ed), Saha, G. (Ed), Shahnaz, C. (Ed), Hu, Y. (Ed) (2021)"
1,Introduction to Video Game Engine Development,Game Development,978-1-4842-7038-7,"XII, 548",2021,0,5,Apress,39.99,NA,54.99,NA,NA,"Brusca, V. G. (2021)"
2,Intelligent Scene Modeling and Human-Computer Interaction,User Interfaces and Human Computer Interaction,978-3-030-71001-9,"XII, 296",2021,0,5,Springer International Publishing,119.00,159.99,NA,NA,NA,"Thalmann, N. M. (Ed), Zhang, J. J. (Ed), Ramanathan, M. (Ed), Thalmann, D. (Ed) (2021)"
2,Machine Learning,Machine Learning,978-981-15-1966-6,"XIII, 524",2021,0,5,Springer Singapore,64.99,84.99,NA,NA,NA,"Zhou, Z. (2021)"
2,Artificial Intelligence in the Gulf,Industrial Organization,978-981-16-0770-7,"IX, 289",2021,0,5,Palgrave Macmillan,139.00,179.99,NA,NA,NA,"Azar, E. (Ed), Haddad, A. N. (Ed) (2021)"
2,Applied Information Processing Systems,Computational Intelligence,978-981-16-2007-2,"X, 582",2021,0,5,Springer Singapore,169.00,NA,219.99,NA,NA,"Iyer, B. (Ed), Ghosh, D. (Ed), Balas, V. E. (Ed) (2021)"
2,Proceedings of Integrated Intelligence Enable Networks and Computing,Computational Intelligence,978-981-336-306-9,"XIV, 1004",2021,0,5,Springer Singapore,229.00,299.99,NA,NA,NA,"Singh Mer, K. K. (Ed), Semwal, V. B. (Ed), Bijalwan, V. (Ed), Crespo, R. G. (Ed) (2021)"
2,Handbook of Smart Cities,User Interfaces and Human Computer Interaction,978-3-030-69697-9,"XXX, 1664",2021,1,6,Springer International Publishing,NA,NA,NA,749.99,"1,099.99","Augusto, J. C. (Ed) (2021)"
2,Pythagorean Fuzzy Sets,Mathematical Logic and Foundations,978-981-16-1988-5,"X, 443",2021,0,5,Springer Singapore,109.00,139.99,NA,NA,NA,"Garg, H. (Ed) (2021)"
2,Algorithms  and Complexity,Algorithm Analysis and Problem Complexity,978-3-030-75241-5,"XII, 398",2021,0,5,Springer International Publishing,59.99,NA,79.99,NA,NA,"Calamoneri, T. (Ed), Cor, F. (Ed) (2021)"
2,Cluster Analysis and Applications,Data Structures and Information Theory,978-3-030-74551-6,"IV, 246",2021,0,5,Springer International Publishing,59.99,79.99,NA,NA,NA,"Scitovski, R., Sabo, K., Martnez lvarez, F., Ungar, . (2021)"
